GID	DOI	DOI_GLIS_url
41669	"10.18730/B9CMZ"	"https://ssl.fao.org/glis/doi/10.18730/B9CMZ"
41686	"10.18730/B2V1N"	"https://ssl.fao.org/glis/doi/10.18730/B2V1N"
41700	"10.18730/B4WKA"	"https://ssl.fao.org/glis/doi/10.18730/B4WKA"
41709	"10.18730/B6T2G"	"https://ssl.fao.org/glis/doi/10.18730/B6T2G"
41750	"10.18730/B2QZ$"	"https://ssl.fao.org/glis/doi/10.18730/B2QZ$"
41761	"10.18730/BEJNG"	"https://ssl.fao.org/glis/doi/10.18730/BEJNG"
41800	"10.18730/B4GPU"	"https://ssl.fao.org/glis/doi/10.18730/B4GPU"
41804	"10.18730/BEJVP"	"https://ssl.fao.org/glis/doi/10.18730/BEJVP"
41830	"10.18730/B7HCP"	"https://ssl.fao.org/glis/doi/10.18730/B7HCP"
41948	"10.18730/BAXSD"	"https://ssl.fao.org/glis/doi/10.18730/BAXSD"
42012	"10.18730/BE0FT"	"https://ssl.fao.org/glis/doi/10.18730/BE0FT"
42066	"10.18730/BBEN="	"https://ssl.fao.org/glis/doi/10.18730/BBEN="
42076	"10.18730/B73QX"	"https://ssl.fao.org/glis/doi/10.18730/B73QX"
42083	"10.18730/B2QX*"	"https://ssl.fao.org/glis/doi/10.18730/B2QX*"
42158	"10.18730/B6S7T"	"https://ssl.fao.org/glis/doi/10.18730/B6S7T"
42174	"10.18730/BEK5*"	"https://ssl.fao.org/glis/doi/10.18730/BEK5*"
42237	"10.18730/BEK2X"	"https://ssl.fao.org/glis/doi/10.18730/BEK2X"
42274	"10.18730/BF2VG"	"https://ssl.fao.org/glis/doi/10.18730/BF2VG"
42644	"10.18730/BA9V4"	"https://ssl.fao.org/glis/doi/10.18730/BA9V4"
43154	"10.18730/B71X8"	"https://ssl.fao.org/glis/doi/10.18730/B71X8"
43789	"10.18730/BEK9U"	"https://ssl.fao.org/glis/doi/10.18730/BEK9U"
45567	"10.18730/CG138"	"https://ssl.fao.org/glis/doi/10.18730/CG138"
58495	"10.18730/CYFQC"	"https://ssl.fao.org/glis/doi/10.18730/CYFQC"
62114	"10.18730/BEJWQ"	"https://ssl.fao.org/glis/doi/10.18730/BEJWQ"
62150	"10.18730/B7KWW"	"https://ssl.fao.org/glis/doi/10.18730/B7KWW"
62221	"10.18730/BF2TF"	"https://ssl.fao.org/glis/doi/10.18730/BF2TF"
62235	"10.18730/BE0MZ"	"https://ssl.fao.org/glis/doi/10.18730/BE0MZ"
62256	"10.18730/BASBK"	"https://ssl.fao.org/glis/doi/10.18730/BASBK"
62427	"10.18730/BEEQ1"	"https://ssl.fao.org/glis/doi/10.18730/BEEQ1"
62526	"10.18730/BGZAV"	"https://ssl.fao.org/glis/doi/10.18730/BGZAV"
62576	"10.18730/B2R53"	"https://ssl.fao.org/glis/doi/10.18730/B2R53"
62587	"10.18730/B7XTD"	"https://ssl.fao.org/glis/doi/10.18730/B7XTD"
62603	"10.18730/BF2SE"	"https://ssl.fao.org/glis/doi/10.18730/BF2SE"
62627	"10.18730/BE05G"	"https://ssl.fao.org/glis/doi/10.18730/BE05G"
62633	"10.18730/BFK0F"	"https://ssl.fao.org/glis/doi/10.18730/BFK0F"
64869	"10.18730/B7KZZ"	"https://ssl.fao.org/glis/doi/10.18730/B7KZZ"
64873	"10.18730/BJ2F5"	"https://ssl.fao.org/glis/doi/10.18730/BJ2F5"
65038	"10.18730/BF2ZM"	"https://ssl.fao.org/glis/doi/10.18730/BF2ZM"
65315	"10.18730/BF39Y"	"https://ssl.fao.org/glis/doi/10.18730/BF39Y"
65504	"10.18730/B2WH*"	"https://ssl.fao.org/glis/doi/10.18730/B2WH*"
66363	"10.18730/BJ7XZ"	"https://ssl.fao.org/glis/doi/10.18730/BJ7XZ"
66369	"10.18730/BEX9Q"	"https://ssl.fao.org/glis/doi/10.18730/BEX9Q"
66925	"10.18730/BF7FG"	"https://ssl.fao.org/glis/doi/10.18730/BF7FG"
67055	"10.18730/BEJTN"	"https://ssl.fao.org/glis/doi/10.18730/BEJTN"
67929	"10.18730/B4Z2F"	"https://ssl.fao.org/glis/doi/10.18730/B4Z2F"
68052	"10.18730/BAXRC"	"https://ssl.fao.org/glis/doi/10.18730/BAXRC"
68460	"10.18730/BF2RD"	"https://ssl.fao.org/glis/doi/10.18730/BF2RD"
70761	"10.18730/BEK6~"	"https://ssl.fao.org/glis/doi/10.18730/BEK6~"
72533	"10.18730/BCBN1"	"https://ssl.fao.org/glis/doi/10.18730/BCBN1"
76718	"10.18730/BEK8="	"https://ssl.fao.org/glis/doi/10.18730/BEK8="
77128	"10.18730/BEK7$"	"https://ssl.fao.org/glis/doi/10.18730/BEK7$"
77205	"10.18730/BEJYS"	"https://ssl.fao.org/glis/doi/10.18730/BEJYS"
77230	"10.18730/BFJWB"	"https://ssl.fao.org/glis/doi/10.18730/BFJWB"
77246	"10.18730/BFK4K"	"https://ssl.fao.org/glis/doi/10.18730/BFK4K"
77310	"10.18730/BFJVA"	"https://ssl.fao.org/glis/doi/10.18730/BFJVA"
77331	"10.18730/BFJYD"	"https://ssl.fao.org/glis/doi/10.18730/BFJYD"
77500	"10.18730/BFZTJ"	"https://ssl.fao.org/glis/doi/10.18730/BFZTJ"
77534	"10.18730/BHS31"	"https://ssl.fao.org/glis/doi/10.18730/BHS31"
77587	"10.18730/BF2WH"	"https://ssl.fao.org/glis/doi/10.18730/BF2WH"
78690	"10.18730/D23RS"	"https://ssl.fao.org/glis/doi/10.18730/D23RS"
79152	"10.18730/F4PFH"	"https://ssl.fao.org/glis/doi/10.18730/F4PFH"
79693	"10.18730/BAE2W"	"https://ssl.fao.org/glis/doi/10.18730/BAE2W"
80496	"10.18730/BC2F3"	"https://ssl.fao.org/glis/doi/10.18730/BC2F3"
80506	"10.18730/BEJSM"	"https://ssl.fao.org/glis/doi/10.18730/BEJSM"
80512	"10.18730/BFSQ8"	"https://ssl.fao.org/glis/doi/10.18730/BFSQ8"
80559	"10.18730/BEES3"	"https://ssl.fao.org/glis/doi/10.18730/BEES3"
80662	"10.18730/BEXJ*"	"https://ssl.fao.org/glis/doi/10.18730/BEXJ*"
80836	"10.18730/BF3XD"	"https://ssl.fao.org/glis/doi/10.18730/BF3XD"
82480	"10.18730/BC3E$"	"https://ssl.fao.org/glis/doi/10.18730/BC3E$"
82710	"10.18730/BBWYB"	"https://ssl.fao.org/glis/doi/10.18730/BBWYB"
82844	"10.18730/B7HBN"	"https://ssl.fao.org/glis/doi/10.18730/B7HBN"
83123	"10.18730/BE0AN"	"https://ssl.fao.org/glis/doi/10.18730/BE0AN"
85138	"10.18730/BBJ5U"	"https://ssl.fao.org/glis/doi/10.18730/BBJ5U"
